mshrs,targets_per_mshr,result_dir,cycles,ipc,l1d_misses,l2_misses,l1d_mshr_hits,l1d_mshr_misses,l1d_blocked_no_mshrs,l1d_blocked_no_targets,speedup_vs_mshr1,reduction_vs_mshr1_pct,reduction_vs_previous_pct
1,16,mshr_1_targets_16,34084,0.240699,195,191,,195,30837,0,1.000000,0.000000,
2,16,mshr_2_targets_16,18297,0.448380,1207,192,1012,195,13936,652,1.862819,46.317920,46.317920
4,16,mshr_4_targets_16,12985,0.631806,2489,192,2294,195,0,7634,2.624875,61.902946,29.032082
8,16,mshr_8_targets_16,13149,0.623926,2468,192,2273,195,0,7798,2.592136,61.421781,-1.262996
16,16,mshr_16_targets_16,13149,0.623926,2468,192,2273,195,0,7798,2.592136,61.421781,0.000000
32,16,mshr_32_targets_16,13149,0.623926,2468,192,2273,195,0,7798,2.592136,61.421781,0.000000
